충돌을 나타내는 고객의 발화,충돌의 원인,조치 방안,자가조치 가능여부,자가조치 시 매뉴얼 참조여부,자가조치 참조방법,출동 필요여부,출동 담당업체
화분 부분에서 아랫 부분에 충돌 현상,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
룸 진입 시 충돌 위험,"자율주행 오류(멈춤, 금지구역침범 등)",맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
룸 진입 시 충돌 위험,"자율주행 오류(멈춤, 금지구역침범 등)","S/W, F/W 업그레이드 적용",TRUE,TRUE,펌웨어 업데이트,FALSE,NULL
로봇이 기둥에 부딪힌 이후 작동정지,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
충돌 감지,센서 이물질,센서 이물질 제거,TRUE,TRUE,"카메라, ToF, 라이다 센서 위치",FALSE,NULL
테이블 충돌 자주 발생,3D 카메라 불량,출동 필요,FALSE,FALSE,NULL,TRUE,제조사
로봇이 충돌을 감지 하였습니다 후 미동작,관성 센서 불량,관성 센서 수리,FALSE,FALSE,NULL,TRUE,제조사
테이블 충돌 현상,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
범퍼 충돌 메시지 발생,TX2(HW) 불량,TX2(HW) 수리,FALSE,FALSE,NULL,TRUE,제조사
로봇 주행중 충동오류 현상발생,센서 이물질,센서 이물질 제거,TRUE,TRUE,"카메라, ToF, 라이다 센서 위치",FALSE,NULL
